case_id,solver,formulation,cold_median_seconds,setup_median_seconds,warm_reuse_median_seconds,cold_over_warm_reuse_speedup
X15,EIDORS,classic,0.00061404375,0.0004193875,7.841249999999999e-05,7.830942132950743
X15,EIDORS,robin_transconductance,0.0006926874999999999,0.00065948125,1.0237499999999998e-05,67.66178266178267
X16,PyEIDORS/DOLFINx,classic,0.0009760064367583254,0.0009146888842224143,3.530612957547419e-05,27.64410736871933
X16,PyEIDORS/DOLFINx,robin_transconductance,0.00035238650161772966,0.0003215998185623903,1.54404388013063e-05,22.822311344410554
X16,NGSolve,classic,0.0010930251864920137,0.0010091587482747855,6.559362373081967e-05,16.66358899422182
X16,NGSolve,robin_transconductance,0.0003988539974670857,0.00033934181738004554,1.6848880477482453e-05,23.672433192230834
X16,EIDORS,classic,0.0006226062499999999,0.00045048125,4.8131249999999994e-05,12.935592780158421
X16,EIDORS,robin_transconductance,0.0006895,0.0006623625000000001,6.2375e-06,110.54108216432866
X17,PyEIDORS/DOLFINx,classic,0.0006281064361246536,0.000599064129346516,1.6701505956007168e-05,37.60777248345904
X17,PyEIDORS/DOLFINx,robin_transconductance,0.00015155087203311268,0.00012110818897781428,1.3386063073994592e-05,11.321541755434724
X17,NGSolve,classic,0.0008501134361722507,0.0008137573113344843,2.9421305953292176e-05,28.8944833897533
X17,NGSolve,robin_transconductance,0.00022539425299328286,0.00015470712423848454,1.5132565749809146e-05,14.894648846718248
X17,EIDORS,classic,0.00042405,0.00027675000000000003,3.464375e-05,12.240303084972037
X17,EIDORS,robin_transconductance,0.000502225,0.00048020625,6.243749999999999e-06,80.43643643643645
X18,PyEIDORS/DOLFINx,classic,0.0006248943136597518,0.0005990429999656044,2.25984986172989e-05,27.652027873276595
X18,PyEIDORS/DOLFINx,robin_transconductance,0.000183603684490663,0.0001528458706161473,1.9310500647407025e-05,9.507971224729324
X18,NGSolve,classic,0.000830868377306615,0.0007882795580371749,2.7318439606460743e-05,30.414196025680642
X18,NGSolve,robin_transconductance,0.00016477762437716592,0.0001460169969504932,1.3619623132399283e-05,12.09854507539065
X18,EIDORS,classic,0.0003264,0.00020900625,3.2649999999999994e-05,9.996937212863708
X18,EIDORS,robin_transconductance,0.00037016250000000006,0.0003497875,5.818750000000001e-06,63.61546723952739
X19,PyEIDORS/DOLFINx,classic,0.0006452120614994783,0.0006170687520352658,2.433525150991045e-05,26.51347413593477
X19,PyEIDORS/DOLFINx,robin_transconductance,0.00015069062465045135,0.00011891812573594507,1.784125379344914e-05,8.446190295537479
X19,NGSolve,classic,0.000871721689691185,0.0008130591268127318,3.004018435603939e-05,29.01851997176345
X19,NGSolve,robin_transconductance,0.0002048946244030958,0.00015385962979053147,1.3371003660722636e-05,15.323802879882113
X19,EIDORS,classic,0.00029085625,0.00019238749999999998,2.250625e-05,12.923354623715634
X19,EIDORS,robin_transconductance,0.0003505375,0.00033624374999999994,4.806250000000001e-06,72.9336801040312
X20,PyEIDORS/DOLFINx,classic,0.0006557996912306407,0.0006280060024437262,1.7372874935972504e-05,37.74848398135494
X20,PyEIDORS/DOLFINx,robin_transconductance,0.00016575931476836558,0.00014287643352872692,1.673393853707239e-05,9.905576885031708
X20,NGSolve,classic,0.0008115978798741708,0.0007726005042059114,2.9349252145038918e-05,27.653102568453694
X20,NGSolve,robin_transconductance,0.00017068793749785982,0.00014527718667523004,1.3453623978421092e-05,12.687134542457432
X20,EIDORS,classic,0.00031481874999999995,0.000212225,2.5481250000000006e-05,12.35491783173902
X20,EIDORS,robin_transconductance,0.00035016875,0.0003336625,4.66875e-06,75.00267737617136
X21,PyEIDORS/DOLFINx,classic,0.0008713369334145682,0.0008213861892727436,3.4733184293145314e-05,25.086583656152968
X21,PyEIDORS/DOLFINx,robin_transconductance,0.0003778125628741691,0.0003338455608172808,1.3856373698217794e-05,27.266337578840222
X21,NGSolve,classic,0.0011418087506172014,0.0010614521233947016,7.101099799911026e-05,16.079322679446186
X21,NGSolve,robin_transconductance,0.0005128198736201739,0.00035477062556310557,3.694681072374806e-05,13.879949678323712
X21,EIDORS,classic,0.00055360625,0.00039398125,4.50125e-05,12.298944737572896
X21,EIDORS,robin_transconductance,0.0005989374999999999,0.0005776812499999999,6.949999999999998e-06,86.17805755395685
X22,PyEIDORS/DOLFINx,classic,0.001019072247800068,0.00095969406356744,3.5263252357253805e-05,28.898986329332168
